

Mean vec: 
( 0.0 , 1.4210854715202004e-14 )
( 0.008032128514056224 , 0.07860016038960638 )
( 0.012048192771084336 , 0.11747833798124546 )
( 0.01606425702811245 , 0.1559905298593243 )
( 0.020080321285140562 , 0.1940668556440628 )
( 0.024096385542168672 , 0.23163415460952938 )
( 0.028112449799196783 , 0.2686170108812798 )
( 0.0321285140562249 , 0.3049386186926899 )
( 0.03614457831325301 , 0.34052156297357833 )
( 0.040160642570281124 , 0.3752885559921143 )
( 0.04417670682730923 , 0.4091631505795376 )
( 0.048192771084337345 , 0.4420704218629238 )
( 0.05220883534136546 , 0.47393749304729155 )
( 0.056224899598393566 , 0.5030816429413301 )
( 0.06024096385542168 , 0.5302511284800989 )
( 0.0642570281124498 , 0.5561048797528404 )
( 0.0682730923694779 , 0.5806451571120793 )
( 0.07228915662650602 , 0.6038775903070184 )
( 0.07630522088353413 , 0.6258108779035184 )
( 0.08032128514056225 , 0.64645645594733 )
( 0.08433734939759036 , 0.6658281922654098 )
( 0.08835341365461846 , 0.6839421132835332 )
( 0.09236947791164658 , 0.7008161606199244 )
( 0.09638554216867469 , 0.7164699730917419 )
( 0.1004016064257028 , 0.7309246899463168 )
( 0.10441767068273092 , 0.7442027717242325 )
( 0.10843373493975902 , 0.7563278357693378 )
( 0.11244979919678713 , 0.7673245039060259 )
( 0.11646586345381525 , 0.7772182601897463 )
( 0.12048192771084336 , 0.7860353169967603 )
( 0.12449799196787148 , 0.7938024878948018 )
( 0.1285140562248996 , 0.8005470659453524 )
( 0.1325301204819277 , 0.8062967061876264 )
( 0.1365461847389558 , 0.8110793111049059 )
( 0.14056224899598393 , 0.8149229178921564 )
( 0.14457831325301204 , 0.8178555862729925 )
( 0.14859437751004015 , 0.8199052854943387 )
( 0.15261044176706826 , 0.8210997788950466 )
( 0.15662650602409636 , 0.8214665040606155 )
( 0.1606425702811245 , 0.821032445981551 )
( 0.1646586345381526 , 0.8198239996330582 )
( 0.1686746987951807 , 0.8178668167096084 )
( 0.17269076305220882 , 0.8151856282540616 )
( 0.17670682730923692 , 0.8118040290122726 )
( 0.18072289156626503 , 0.8077441964031492 )
( 0.18473895582329317 , 0.8030264825372401 )
( 0.18875502008032127 , 0.7976686857193961 )
( 0.19277108433734938 , 0.7883284384952025 )
( 0.1967871485943775 , 0.7772593654863204 )
( 0.2008032128514056 , 0.7654387231660412 )
( 0.20481927710843373 , 0.7528986776877848 )
( 0.20883534136546184 , 0.7396698126787312 )
( 0.21285140562248994 , 0.7257815256111152 )
( 0.21686746987951805 , 0.7112622544644795 )
( 0.22088353413654616 , 0.6961396257676773 )
( 0.22489959839357426 , 0.6804405590428869 )
( 0.2289156626506024 , 0.6641913443662335 )
( 0.2329317269076305 , 0.647417702116724 )
( 0.2369477911646586 , 0.6301448302880095 )
( 0.24096385542168672 , 0.6123974427614689 )
( 0.24497991967871482 , 0.5941998007984588 )
( 0.24899598393574296 , 0.5755757393091016 )
( 0.25301204819277107 , 0.556548689010916 )
( 0.2570281124497992 , 0.5371416952856354 )
( 0.2610441767068273 , 0.5173774343546008 )
( 0.2650602409638554 , 0.49727822722793596 )
( 0.2690763052208835 , 0.4768660517974343 )
( 0.2730923694779116 , 0.45616255335437106 )
( 0.2771084337349397 , 0.43518905376208794 )
( 0.28112449799196787 , 0.4139665594669187 )
( 0.285140562248996 , 0.39251576849730896 )
( 0.2891566265060241 , 0.3708570765740421 )
( 0.2931726907630522 , 0.34901058243670785 )
